condition,strategy,cycle,replication,final_EUR_PI,final_EUR_CU,pi_distance_from_target,cu_distance_from_target,cu_time_in_target_pct,total_lever_activations,reasoning_branches,mean_decision_latency,total_tokens,decision_count,truncated_decisions,truncation_rate
thinking_expansionary,thinking,expansionary,0,5.144061429399004,0.8999676457249294,16.855938570600998,0.09996764572492933,5.357142857142857,14,14,136.53218042850494,31057,14,0,0.0
thinking_expansionary,thinking,expansionary,1,5.1478750681397685,0.8688399834738516,16.85212493186023,0.06883998347385156,5.357142857142857,14,14,131.7299315077918,29967,14,0,0.0
thinking_expansionary,thinking,expansionary,2,6.052722828051431,1.0,15.947277171948569,0.19999999999999996,0.0,14,14,157.5956267459052,35795,14,0,0.0
thinking_recessionary,thinking,recessionary,0,32.125941413620104,0.8373197360969873,10.125941413620104,0.037319736096987244,11.607142857142858,14,14,116.59754031045097,26558,14,0,0.0
thinking_recessionary,thinking,recessionary,1,35.9172849802354,0.8373739004114568,13.9172849802354,0.03737390041145672,11.607142857142858,12,14,109.28179447991508,24913,14,0,0.0
thinking_recessionary,thinking,recessionary,2,48.1363144502053,0.837889886162796,26.136314450205298,0.03788988616279598,11.607142857142858,14,14,129.12372774737221,29376,14,0,0.0
nonthinking_expansionary,nonthinking,expansionary,0,5.384336447412013,0.8827813665639862,16.61566355258799,0.08278136656398616,0.0,21,0,11.529588750430516,2630,14,0,0.0
nonthinking_expansionary,nonthinking,expansionary,1,5.407569591613032,0.7588135441855458,16.592430408386967,0.04118645581445424,54.464285714285715,9,0,8.565794144357953,1948,14,0,0.0
nonthinking_expansionary,nonthinking,expansionary,2,5.638627744179602,0.8118127447413849,16.3613722558204,0.011812744741384829,23.214285714285715,18,0,9.531368936811175,2170,14,0,0.0
nonthinking_recessionary,nonthinking,recessionary,0,45.974539676003985,0.8375765593798674,23.974539676003985,0.03757655937986737,11.607142857142858,14,0,9.045055253165108,2058,14,0,0.0
nonthinking_recessionary,nonthinking,recessionary,1,43.85033027047783,0.8377167741230931,21.850330270477833,0.037716774123093044,11.607142857142858,14,0,9.01474746635982,2051,14,0,0.0
nonthinking_recessionary,nonthinking,recessionary,2,49.414443659516905,0.8378048160773665,27.414443659516905,0.03780481607736641,11.607142857142858,14,0,8.735324093273707,1987,14,0,0.0
rulebased_expansionary,rulebased,expansionary,0,12.218743282615646,0.7590065079676986,9.781256717384354,0.040993492032301404,54.464285714285715,21,0,0.0,0,0,0,0.0
rulebased_expansionary,rulebased,expansionary,1,12.199255778533521,0.7590086463249318,9.800744221466479,0.04099135367506823,54.464285714285715,21,0,0.0,0,0,0,0.0
rulebased_expansionary,rulebased,expansionary,2,12.161285917700633,0.7590128626478189,9.838714082299367,0.04098713735218118,54.464285714285715,21,0,0.0,0,0,0,0.0
rulebased_recessionary,rulebased,recessionary,0,25.596856274876735,0.8371634500520542,3.5968562748767354,0.037163450052054126,11.607142857142858,24,0,0.0,0,0,0,0.0
rulebased_recessionary,rulebased,recessionary,1,29.648952530905675,0.8371130054609927,7.6489525309056745,0.03711300546099261,11.607142857142858,27,0,0.0,0,0,0,0.0
rulebased_recessionary,rulebased,recessionary,2,26.751495508552694,0.8371473359164664,4.7514955085526935,0.03714733591646635,11.607142857142858,25,0,0.0,0,0,0,0.0
